timestamp,mm_precip,temperature
1546297200,0,9.1
1546299000,0,8.9
1546300800,0,9
1546302600,0,9.2
1546304400,0,8.6
1546306200,0,8.3
1546308000,0,7.7
1546309800,0,7.4
1546311600,0,7.3
1546313400,0,7.7
1546315200,0,8
1546317000,0,9
1546318800,0,8.9
1546320600,0,10
1546322400,0,8.8
1546324200,0,11.1
1546326000,0,9.5
1546327800,0,12.3
1546329600,0,13.9
1546331400,0,13.4
1546333200,0,14
1546335000,0,15.2
1546336800,0,15.8
1546338600,0,16.6
1546340400,0,16.4
1546342200,0,16
1546344000,0,14.6
1546345800,0,14.1
1546347600,0,13.8
1546349400,0,13.6
1546351200,0,14
1546353000,0,13.8
1546354800,0,13.3
1546356600,0,12.5
1546358400,0,12.4
1546360200,0,12.1
1546362000,0,11.5
1546363800,0,11.2
1546365600,0,11.5
1546367400,0,11.9
1546369200,0,11.3
1546371000,0,10.6
1546372800,0,10.6
1546374600,0,9.6
1546376400,0,9
1546378200,0,8.5
1546380000,0,8.6
1546381800,0,9
1546383600,0,9.6
1546385400,0,9.7
1546387200,0,9.5
1546389000,0,9.5
1546390800,0,9.3
1546392600,0,9.5
1546394400,0,9.6
1546396200,0,9.3
1546398000,0,9.5
1546399800,0,8.9
1546401600,0,7.9
1546403400,0,7.6
1546405200,0,7.4
1546407000,0,7.2
1546408800,0,7.1
1546410600,0,7.4
1546412400,0,8.1
1546414200,0,8.4
1546416000,0,8.5
1546417800,0,9.6
1546419600,0,11.6
1546421400,0,12.6
1546423200,0,12.8
1546425000,0,12.5
1546426800,0,13.9
1546428600,0,14.3
1546430400,0,13.2
1546432200,0,14.4
1546434000,0,14.3
1546435800,0,13.2
1546437600,0,12.5
1546439400,0,11.6
1546441200,0,10.5
1546443000,0,9.9
1546444800,0,9.4
1546446600,0,9.8
1546448400,0,9
1546450200,0,8.4
1546452000,0,7.7
1546453800,0,7.3
1546455600,0,7.2
1546457400,0,6.6
1546459200,0,6.5
1546461000,0,6.3
1546462800,0,6.4
1546464600,0,6.1
1546466400,0,6.2
1546468200,0,6.4
1546470000,0,6.4
1546471800,0,7.6
1546473600,0,7.3
1546475400,0,7.2
1546477200,0,7.1
1546479000,0,8
1546480800,0,8.3
1546482600,0,8.8
1546484400,0,8.9
1546486200,0,8.5
1546488000,0,7
1546489800,0,6.4
1546491600,0,6.1
1546493400,0,5.7
1546495200,0,5.4
1546497000,0,5.6
1546498800,0,6.8
1546500600,0,7.7
1546502400,0,9.7
1546504200,0,11.1
1546506000,0,12.1
1546507800,0,12.3
1546509600,0,12.5
1546511400,0,12.7
1546513200,0,12.7
1546515000,0,12.8
1546516800,0,12.8
1546518600,0,13
1546520400,0,13.1
1546522200,0,13.1
1546524000,0,12.7
1546525800,0,11.5
1546527600,0,10.5
1546529400,0,9.8
1546531200,0,9
1546533000,0,8.7
1546534800,0,8.7
1546536600,0,8.3
1546538400,0,8.3
1546540200,0,7.4
1546542000,0,7.9
1546543800,0,6.9
1546545600,0,7
1546547400,0,6.8
1546549200,0,5.6
1546551000,0,5.4
1546552800,0,5.1
1546554600,0,4.6
1546556400,0,4.4
1546558200,0,4.2
1546560000,0,3.7
1546561800,0,3.5
1546563600,0,3.6
1546565400,0,3.2
1546567200,0,3.3
1546569000,0,3.3
1546570800,0,3.2
1546572600,0,3.2
1546574400,0,3.1
1546576200,0,3.2
1546578000,0,3
1546579800,0,3
1546581600,0,3
1546583400,0,3.2
1546585200,0,3.9
1546587000,0,5.6
1546588800,0,8.5
1546590600,0,10.2
1546592400,0,11.1
1546594200,0,11.1
1546596000,0,11.7
1546597800,0,11.9
1546599600,0,11.6
1546601400,0,11.6
1546603200,0,11.5
1546605000,0,12
1546606800,0,11.9
1546608600,0,11
1546610400,0,10.6
1546612200,0,10.2
1546614000,0,9.8
1546615800,0,9.4
1546617600,0,8.6
1546619400,0,8.6
1546621200,0,7.8
1546623000,0,7.5
1546624800,0,7.3
1546626600,0,7
1546628400,0,7.5
1546630200,0,6.8
1546632000,0,6.4
1546633800,0,5.9
1546635600,0,5.8
1546637400,0,6.7
1546639200,0,6.3
1546641000,0,6.2
1546642800,0,6.1
1546644600,0,5.8
1546646400,0,6.1
1546648200,0,6.4
1546650000,0,7.1
1546651800,0,7.1
1546653600,0,7.1
1546655400,0,7.1
1546657200,0,7
1546659000,0,6.9
1546660800,0,6.3
1546662600,0,6.1
1546664400,0,6
1546666200,0,6
1546668000,0,6
1546669800,0,5.7
1546671600,0,6
1546673400,0,7
1546675200,0,8.8
1546677000,0,9.6
1546678800,0,9.7
1546680600,0,9.8
1546682400,0,11.2
1546684200,0,12.6
1546686000,0,12.4
1546687800,0,12
1546689600,0,12.9
1546691400,0,13.3
1546693200,0,13.1
1546695000,0,13.9
1546696800,0,13.2
1546698600,0,12.4
1546700400,0,11.8
1546702200,0,11.6
1546704000,0,11.4
1546705800,0,11
1546707600,0,11.2
1546709400,0,10.5
1546711200,0,10.2
1546713000,0,9.8
1546714800,0,9.8
1546716600,0,9.9
1546718400,0,9.9
1546720200,0,10.5
1546722000,0,11.1
1546723800,0,10.7
1546725600,0,10.6
1546727400,0,10.2
1546729200,0,14.1
1546731000,0,13.8
1546732800,0,12.1
1546734600,0,11.7
1546736400,0,11.8
1546738200,0,11.3
1546740000,0,11.9
1546741800,0,11.9
1546743600,0,12.1
1546745400,0,10.9
1546747200,0,10
1546749000,0,10
1546750800,0,11.1
1546752600,0,10.7
1546754400,0,10.5
1546756200,0,10.8
1546758000,0,11.1
1546759800,0,10.3
1546761600,0,10.5
1546763400,0,10.6
1546765200,0,11.6
1546767000,0,12.6
1546768800,0,13.6
1546770600,0,14.7
1546772400,0,15.5
1546774200,0,16.4
1546776000,0,16.7
1546777800,0,16.9
1546779600,0,16.6
1546781400,0,16.3
1546783200,0,15.8
1546785000,0,14.6
1546786800,0,14
1546788600,0,13.3
1546790400,0,13.3
1546792200,0,13.2
1546794000,0,12.4
1546795800,0,11.6
1546797600,0,12.1
1546799400,0,11.4
1546801200,0,11.8
1546803000,0,10.8
1546804800,0,10.7
1546806600,0,9.3
1546808400,0,8.7
1546810200,0,9.3
1546812000,0,8.7
1546813800,0,8.3
1546815600,0,8.1
1546817400,0,8.4
1546819200,0,9.2
1546821000,0,8.9
1546822800,0,8.4
1546824600,0,8.4
1546826400,0,9.1
1546828200,0,9
1546830000,0,9.2
1546831800,0,8
1546833600,0,8
1546835400,0,8
1546837200,0,8
1546839000,0,8.6
1546840800,0,8.2
1546842600,0,9
1546844400,0,9.5
1546846200,0,9.3
1546848000,0,9.9
1546849800,0,10.9
1546851600,0,11.6
1546853400,0,11.6
1546855200,0,11.9
1546857000,0,12.8
1546858800,0,13.6
1546860600,0,13.5
1546862400,0,13.8
1546864200,0,13.9
1546866000,0,13.6
1546867800,0,14.4
1546869600,0,13.4
1546871400,0,12.3
1546873200,0,11.5
1546875000,0,10.6
1546876800,0,10.1
1546878600,0,9.5
1546880400,0,9.2
1546882200,0,8.4
1546884000,0,8.2
1546885800,0,8.1
1546887600,0,7.7
1546889400,0,7.4
1546891200,0,6.9
1546893000,0,7.5
1546894800,0,7.3
1546896600,0,6.9
1546898400,0,7.6
1546900200,0,7.2
1546902000,0,7.2
1546903800,0,6.8
1546905600,0,6.4
1546907400,0,6.1
1546909200,0,6
1546911000,0,6.3
1546912800,0,6.2
1546914600,0,6.2
1546916400,0,5.7
1546918200,0,4.8
1546920000,0,4.2
1546921800,0,4.5
1546923600,0,4.5
1546925400,0,4.6
1546927200,0,4.6
1546929000,0,4.9
1546930800,0,5.3
1546932600,0,5.8
1546934400,0,6.5
1546936200,0,7.1
1546938000,0,7.8
1546939800,0,8.4
1546941600,0,9.1
1546943400,0,9.9
1546945200,0,10.9
1546947000,0,11.3
1546948800,0,11.1
1546950600,0,10.9
1546952400,0,10.9
1546954200,0,11
1546956000,0,10.5
1546957800,0,10.2
1546959600,0,9.6
1546961400,0,9
1546963200,0,8.7
1546965000,0,8.5
1546966800,0,8.3
1546968600,0,8.1
1546970400,0,8.2
1546972200,0,7.8
1546974000,0,8.6
1546975800,0,8.8
1546977600,0,9.6
1546979400,0,9.2
1546981200,0,9.4
1546983000,0,8.7
1546984800,0,8.6
1546986600,0,7.8
1546988400,0,7.3
1546990200,0,7.6
1546992000,0,7.6
1546993800,0,7.2
1546995600,0,7.6
1546997400,0,8.3
1546999200,0,8.2
1547001000,0,7.4
1547002800,0,6.9
1547004600,0,6.9
1547006400,0,7.4
1547008200,0,7.3
1547010000,0,7.7
1547011800,0,7.6
1547013600,0,7.6
1547015400,0,8.2
1547017200,0,8.8
1547019000,0,9.4
1547020800,0,10.4
1547022600,0,11.6
1547024400,0,12
1547026200,0,12.5
1547028000,0,12.7
1547029800,0,13.4
1547031600,0,13.7
1547033400,0,14.3
1547035200,0,14.5
1547037000,0,14.6
1547038800,0,14.8
1547040600,0,15
1547042400,0,14.3
1547044200,0,12.2
1547046000,0,11.7
1547047800,0,11.3
1547049600,0,11.2
1547051400,0,10.9
1547053200,0,10.4
1547055000,0,9.8
1547056800,0,10.7
1547058600,0,10.6
1547060400,0,10.5
1547062200,0,10
1547064000,0,9.3
1547065800,0,9.1
1547067600,0,9
1547069400,0,8.5
1547071200,0,8
1547073000,0,8.2
1547074800,0,7.2
1547076600,0,6.9
1547078400,0,7.2
1547080200,0,6.6
1547082000,0,5.9
1547083800,0,4.9
1547085600,0,6.9
1547087400,0,8
